Country Name,Country Code,Square km,Population,GDP
Afghanistan,AFG,652860,37172386,19362969582
All The Oceans,XAL,360000000,,
Argentina,ARG,2780400,44494502,518475134084
Australia,AUS,7741220,24992369,1432195178668
Austria,AUT,83879,8847037,455736580716
Bangladesh,BGD,147630,161356039,274024958966
Barbados,BRB,430,286641,4673500000
Belgium,BEL,30530,11422068,531766935071
Benin,BEN,114760,11485048,10358985583
Bolivia,BOL,1098580,11353142,40287647757
Brazil,BRA,8515770,209469333,1868626087908
Bulgaria,BGR,111000,7024216,65132951116
Cambodia,KHM,181040,16249798,24571753583
Cameroon,CMR,475440,25216237,38502059858
Canada,CAN,9984670,37058856,1712510030034
Chile,CHL,756700,18729160,298231139609
China,CHN,9562910,1392730000,13608151864638
Comoros,COM,1861,832322,1203080508
Croatia,HRV,56590,4089400,60805659436
Cuba,CUB,109880,11338138,96851000000
Cyprus,CYP,9250,1189265,24469841832
Czech Republic,CZE,78870,10625695,245225882903
Denmark,DNK,42920,5797446,352058410508
Ecuador,ECU,256370,17084357,108398058000
England,XEN,130395,,
Europe,EMU,2759788,341783171,13675599697568
European Union,EUU,4384318,513213363,18756100690153
Fiji,FJI,18270,883483,5479504926
Finland,FIN,338450,5518050,273960969999
France,FRA,549087,66987244,2777535239278
Germany,DEU,357580,82927922,3996759291058
Greece,GRC,131960,10727668,218031844584
Greenland,GRL,410450,56025,2713534471
Guatemala,GTM,108890,17247807,78460447920
Haiti,HTI,27750,11123176,9658084644
Hong Kong,HKG,1110,7451000,362992536837
Hungary,HUN,93030,9768785,155703069816
Iceland,ISL,103000,353574,25882218777
India,IND,3287259,1352617328,2726322616821
Indonesia,IDN,1913580,267663435,1042173300626
Iran,IRN,1745150,81800269,454012768724
Iraq,IRQ,435052,38433600,225914183048
Ireland,IRL,70280,4853506,382487490532
Isle of Man,IMN,570,84077,6592627599
Israel,ISR,22070,8883800,369690436162
Italy,ITA,301340,60431283,2073901988878
Jamaica,JAM,10990,2934855,15717858487
Japan,JPN,377970,126529100,4970915556639
Kazakhstan,KAZ,2724902,18276499,170538870248
Kenya,KEN,580370,51393010,87908262520
Kuwait,KWT,17820,4137309,141677814570
Latvia,LVA,64490,1926542,34849078086
Lebanon,LBN,10450,6848925,56639155556
Liberia,LBR,111370,4818977,3249000000
Libya,LBY,1759540,6678567,48319620013
Liechtenstein,LIE,160,37910,6214633651
Lithuania,LTU,65286,2789533,53251369047
Luxembourg,LUX,2590,607728,69487922619
Madagascar,MDG,587295,26262368,12100459087
Malawi,MWI,118480,18143315,7064971176
Malaysia,MYS,330345,31528585,354348422831
Maldives,MDV,300,515696,5272288443
